18.5237;47.0308
18.5244;47.0311
18.5248;47.0317
20.0086;47.803
21.2002;48.305
21.1874649;48.2827917
17.545488;47.695934
17.5504;47.6936
19.9974;47.1946
20.0154;47.1738
20.0074;47.1883
20.0044;47.1874
20.0048504;47.1877088
18.0142;47.7081
19.3857;47.7926
19.9742;47.6941
19.9743;47.6905
18.8654;47.1192
18.859;47.1221
20.5029;48.467
16.9409;47.6092
22.0589;48.1796
22.0489;48.1839
17.547715;47.116232
17.569104;47.10529
17.555986;47.11227
17.5693175;47.1053223
17.5689;47.1061
17.5692;47.0991
17.5497;47.1148
17.5524;47.1057
17.5596;47.1052
17.5321;47.0941
17.5667;47.1083
17.5669;47.1087
17.5511825;47.1082282
17.5314248;47.0944721
19.2053;46.6903
19.2044;46.6915
20.0397;47.4241
18.602;47.4265
20.2364;47.7824
20.2094;46.3293
20.2113;46.3371
21.981;47.4174
21.686577;48.340182
19.1669;47.3132
19.1706;47.3112
19.1546129;47.311845
18.7378;46.202
17.9753;46.9916
17.174;46.7606
19.2434;47.8753
22.1004;48.1772
17.9259;46.6504
20.4148;47.8396
20.4065;47.8586
18.66740470313203;47.6962733
17.2959;47.1114
21.9316;47.9613
19.6924;47.7969
19.691;47.7942
22.2592;48.2149
20.2572;48.1729
20.2572;48.1729
20.8593;48.1297
20.5506;46.6175
17.4983;47.8292
18.0033;47.5093
19.4883;47.6527
19.4755;47.6518
19.4816;47.6515
19.474652;47.6523718
19.8941;47.7157
18.0684;46.3766
17.9766357;47.6425454
17.0755;47.5764
19.4741;47.6377
19.482;47.6352
20.574624;47.449261
21.9894;47.4503
17.3629;47.5847
18.364996;47.650861
18.3598;47.6468
18.5968;47.6562
18.5619;47.7229
17.7316;47.2529
17.5987;47.2254
17.9694;47.2822
18.0971;47.4514
17.9671;47.4702
20.1098;46.5533
18.0934;45.9591
21.0279;48.3727
22.0772;47.9982
22.0794;47.9994
19.2833;48.0716
19.2974;48.0797
19.2968;48.0708
19.2992;48.0848
19.2952;48.0794
19.3103;48.0801
19.3011;48.0804
19.2915;48.0786
19.2961;48.0791
20.0132;46.4232
20.01484;46.4196065
18.008573;47.040042
18.0127;47.0325
18.0145;47.0288
18.0087;47.0401
18.0195645;47.0405743
17.319;46.7108
17.3818;46.8042
17.4798;46.7117
18.2075;47.0166
17.880057;46.956871
19.072176;47.47562
17.8952;46.9553
17.8794;46.9565
17.8762;46.9633
18.0242;47.0591
18.0442;47.0627
17.35;46.7577
18.1082898;47.0366556
18.1081;47.0369
17.3722;46.7038
17.83586;46.824964
17.3016;46.6914
17.8273;46.9656
21.3395;47.6106
21.3434;47.6037
21.3363;47.6039
21.3384;47.6089
21.3476;47.6079
21.3424;47.6225
21.3409;47.6137
21.5343;48.1724
17.9173;47.6487
20.5013;48.2273
20.3554;48.2971
18.866246;46.911054
21.2298;47.2922
21.235;47.2994
18.7794;46.1302
18.7262;46.1972
18.7248;46.1912
18.7237072;46.1871638
19.8284;47.9886
18.9543;46.4872
19.3772;47.91
16.6836;46.7587
21.1753;48.1526
21.1835;48.1578
21.128;46.7708
21.1223;46.7806
21.1271;46.7612
21.1269;46.7615
21.1427;46.7666
21.1309;46.7719
21.1322;46.771
21.1342;46.7739
21.132;46.7724
21.1337;46.7712
21.0904;46.6763
21.0929;46.6777
21.0944;46.6784
21.0912;46.677
21.0887;46.6759
21.0868;46.674
21.0882;46.6757
21.0962;46.6791
21.0943;46.6839
21.1056;46.6711
21.1067;46.6818
21.0826;46.6754
21.0821;46.6756
21.0662;46.6708
21.1224;46.6659
21.1158;46.6677
21.1181;46.6666
21.0973;46.6776
21.0699;46.6602
21.076;46.6622
20.6214;46.4157
20.6183;46.4254
19.5381;47.3573
19.4014;47.8732
22.5269;48.1984
20.841;47.3851
20.6681;48.2322
18.1061;47.1182
18.4073;46.0788
21.9778;48.092
18.9122;48.0409
22.0082;47.9629
20.4259;47.7081
20.4278;47.7003
20.257;47.2956
18.7947;47.1919
18.8327;47.4737
18.8103;47.4631
18.809;47.4646
18.8168;47.4676
18.8275;47.4715
18.8111;47.4664
18.0734;46.0205
18.6341;47.492
18.6341;47.4925
18.6309;47.4888
18.6343;47.4898
18.6443;47.4853
18.6448;47.4804
18.286;46.3321
17.1883;47.183
20.1884;47.6427
21.66;47.6419
21.6603;47.6436
