17.547715;47.116232;Ajka;1322/10hrsz;Hétfő-5:00:22:00|Kedd-5:00:22:00|Szerda-5:00:22:00|Csütörtök-5:00:22:00|Péntek-5:00:22:00|Szombat-5:00:22:00|Vasárnap-7:00 : 21:00
17.569104;47.10529;Ajka;Alkotmány utca 28;Hétfő-5:00:21:00|Kedd-5:00:21:00|Szerda-5:00:21:00|Csütörtök-5:00:21:00|Péntek-5:00:21:00|Szombat-5:00:21:00|Vasárnap-7:00 : 21:00
17.555986;47.11227;Ajka;Fő utca;Hétfő-5:00:22:00|Kedd-5:00:22:0|Szerda-5:00:22:00|Csütörtök-5:00:22:00|Péntek-5:00:22:00|Szombat-5:00:22:00|Vasárnap-7:00:21:00
17.5693175;47.1053223;Ajka;Alkotmány utca 28.;Hétfő-5:00:21:00|Kedd-5:00:21:00|Szerda-5:00:21:00|Csütörtök-5:00:21:00|Péntek-5:00:21:00|Szombat-5:00:21:00|Vasárnap-7:00:21:00
17.5689;47.1061;Ajka;Alkotmány u. 9.;Hétfő-7:00:19:00|Kedd-7:00:19:00|Szerda-7:00:19:00|Csütörtök-7:00:19:00|Péntek-7:00:19:00|Szombat-7:00:15:00|Vasárnap-8:00:12:00
17.5692;47.0991;Ajka;Csingeri u.  2.;Hétfő-8:00:16:00|Kedd-8:00:16:00|Szerda-8:00:16:00|Csütörtök-8:00:16:00|Péntek-8:00:16:00|Szombat-8:00:12:00|Vasárnap-Zárva
17.5497;47.1148;Ajka;Fő utca 66.;Hétfő-6:00:22:00|Kedd-6:00:22:00|Szerda-6:00:22:00|Csütörtök-6:00:22:00|Péntek-6:00:22:00|Szombat-6:00:22:00|Vasárnap-6:00:22:00
17.5524;47.1057;Ajka;Frankel Leó u. 12.;Hétfő-6:00:16:00|Kedd-6:00:16:00|Szerda-6:00:16:00|Csütörtök-6:00:16:00|Péntek-6:00:16:00|Szombat-6:00:11:00|Vasárnap-Zárva
17.5596;47.1052;Ajka;Petőfi Sándor utca 1503/1.;Hétfő-6:00:18:00|Kedd-6:00:18:00|Szerda-6:00:18:00|Csütörtök-6:00:18:00|Péntek-6:00:18:00|Szombat-7:00:15:00|Vasárnap-7:00:11:00
17.5321;47.0941;Ajka;Szent István u.  112/A;Hétfő-7:00:19:00|Kedd-7:00:19:00|Szerda-7:00:19:00|Csütörtök-7:00:19:00|Péntek-7:00:19:00|Szombat-7:00:13:00|Vasárnap-8:00:12:00
17.5667;47.1083;Ajka;Tűzoltó u. 1.;Hétfő-6:00:14:00|Kedd-6:00:14:00|Szerda-6:00:14:00|Csütörtök-6:00:14:00|Péntek-6:00:14:00|Szombat-6:00:12:00|Vasárnap-6:00:12:00
17.5669;47.1087;Ajka;Tűzoltó utca 6-8.;Hétfő-5:00:21:00|Kedd-5:00:21:00|Szerda-5:00:21:00|Csütörtök-5:00:21:00|Péntek-5:00:21:00|Szombat-6:00:21:00|Vasárnap-8:00:20:00
17.5511825;47.1082282;Ajka;Ifjúság utca 9.;Hétfő-6:30:20:00|Kedd-6:30:20:00|Szerda-6:30:20:00|Csütörtök-6:30:20:00|Péntek-6:30:20:00|Szombat-6:30:17:00|Vasárnap-7:00:13:00
17.5314248;47.0944721;Ajka;Váci Mihály utca 2.;Hétfő-6:00:16:00|Kedd-6:00:16:00|Szerda-6:00:16:00|Csütörtök-6:00:16:00|Péntek-6:00:16:00|Szombat-8:00:12:00|Vasárnap-8:00:12:00
