4600;Szabolcs-Szatmár-Bereg;Kisvárda;Vasút utca 2.;47.1874;20.0044;Hétfő 5:00-20:00|Kedd 5:00-20:00|Szerda 5:00-20:00|Csütörtök 5:00-2:00|Péntek 5:00-20:00|Szombat 5:00-21:00|Vasárnap 5:00-12:00
8200;Veszprém;Veszprém; Török Ignác utca 16.;47.0831647;17.9228704;Hétfő 06:00-22:00|Kedd 06:00-22:00|Szerda 6:00-22:00|Csütörtök 06:00-22:00|Péntek 6:00-22:00|Szombat 6:00-22:00|Vasárnap 08:00-21:00
4600;Szabolcs-Szatmár-Bereg;Kisvárda;Szent László utca 13-15.;48.2138;22.0824;Hétfő 6:00-20:00|Kedd 6:00-20:00|Szerda 6:00-20:00|Csütörtök 6:00-20:00|Péntek 6:00-20:00|Szombat 6:00-15:00|Vasárnap 7:00-12:00
2209;Pest;Péteri;Petőfi S. utca 74.;47.3882;19.4098;Hétfő 6:00-20:00|Kedd 6:00-20:00|Szerda 6:00-20:00|Csütörtök 6:00-20:00|Péntek 6:00-20:00|Szombat 6:00-14:00|Vasárnap 7:00-12:00
1113;Pest;Budapest;11. ker. Villányi út 6.;47.489065;19.259249;Hétfő 05:00-20:30|Kedd 05:00-20:30|Szerda 05:00-20:30|Csütörtök 05:00-20:30|Péntek 05:00-20:30|Szombat 0:00-24:01|Vasárnap 06:00-12:00
1115;Pest;Budapest;11. ker. Etele tér gyalogos aluljáró 128/20;47.489065;19.259249;Hétfő 05:00-20:30|Kedd 05:00-20:30|Szerda 05:00-20:30|Csütörtök 05:00-20:30|Péntek 05:00-20:30|Szombat 0:00-24:01|Vasárnap 06:00-12:00
2151;Somogy;Fót;Dózsa György út 42.;47.6142;19.1965;Hétfő 7:00-19:00|Kedd 7:00-19:00|Szerda 7:00-19:00|Csütörtök 7:00-19:00|Péntek 7:00-19:00|Szombat 7:00-15:00|Vasárnap-Zárva-Zárva
2364;Baranya;Ócsa;Damjanich utca 31.;47.3018;19.2195;Hétfő 6:00-20:00|Kedd 6:00-20:00|Szerda 6:00-20:00|Csütörtök 6:00-20:00|Péntek 6:00-20:00|Szombat 8:00-18:00|Vasárnap 8:00-18:00
1028;Pest;Budapest; Hidegkúti út 76/A.;47.489065;19.259249;Hétfő 05:00-20:30|Kedd 05:00-20:30|Szerda 05:00-20:30|Csütörtök 05:00-20:30|Péntek 05:00-20:30|Szombat 0:00-24:01|Vasárnap 06:00-12:00
2083;Somogy;Solymár; Terstyánszky Ödön utca 94.;47.5821;18.939;Hétfő 6:00-20:00|Kedd 6:00-20:00|Szerda 6:00-20:00|Csütörtök 6:00-20:00|Péntek 6:00-20:00|Szombat 6:00-20:00|Vasárnap 6:00-20:00
2740;Pest;Abony;Radák Katalin utca 1.;47.1946;19.9974;Hétfő 6:00-21:00|Kedd 6:00-21:00|Szerda 6:00-21:00|Csütörtök 6:00-21:00|Péntek 6:00-21:00|Szombat 6:00-21:00|Vasárnap 7:00-21:00
2451;Fejér;Ercsi;Rákóczi Ferenc utca 16.;47.25;18.8823;Hétfő 6:00-18:00|Kedd 6:00-18:00|Szerda 6:00-18:00|Csütörtök 6:00-18:00|Péntek 6:00-18:00|Szombat 6:00-18:00|Vasárnap 6:00-12:00
2600;Pest;Vác;Kossuth utca 33.;47.7871;19.1202;Hétfő 6:00-20:00|Kedd 6:00-20:00|Szerda 6:00-20:00|Csütörtök 6:00-20:00|Péntek 6:00-20:00|Szombat 6:00-10:00|Vasárnap 6:00-10:00
3872;Nógrád;Novajidrány;Kossuth L. utca 34.;48.3947;21.1677;Hétfő 6:00-14:00|Kedd 6:00-17:00|Szerda 6:00-17:00|Csütörtök 6:00-17:00|Péntek 6:00-17:00|Szombat 6:00-12:00|Vasárnap-Zárva-Zárva
3849;Hajdú-Bihar;Forró;Fő utca 56.;48.3251;21.0896;Hétfő 6:00-19:00|Kedd 6:00-19:00|Szerda 6:00-19:00|Csütörtök 6:00-19:00|Péntek 6:00-19:00|Szombat 6:00-19:00|Vasárnap 7:00-19:00
3860;Borsod-Abaúj-Zemplén;Encs;Petőfi út 71-73.;48.3313;21.1203;Hétfő 5:30-19:00|Kedd 5:30-19:00|Szerda 5:30-19:00|Csütörtök 5:30-19:00|Péntek 5:30-19:00|Szombat 6:00-15:00|Vasárnap 7:00-14:00
3860;Borsod-Abaúj-Zemplén;Encs;Petőfi út 71-73.;48.3339;21.1128;Hétfő 6:00-17:30|Kedd 6:00-18:00|Szerda 6:00-18:00|Csütörtök 6:00-18:00|Péntek 6:00-18:00|Szombat 6:00-13:00|Vasárnap-Zárva-Zárva
3743;Borsod-Abaúj-Zemplén;Ormosbánya;Petőfi tér 2.;48.3305;20.6513;Hétfő 6:00-14:00|Kedd 6:00-16:00|Szerda 6:00-16:00|Csütörtök 6:00-16:00|Péntek 6:00-16:00|Szombat 6:00-12:00|Vasárnap-Zárva-Zárva
3743;Borsod-Abaúj-Zemplén;Ormosbánya;Petőfi tér 2.;48.3305;20.6513;Hétfő 6:00-14:00|Kedd 6:00-16:00|Szerda 6:00-16:00|Csütörtök 6:00-16:00|Péntek 6:00-16:00|Szombat 6:00-12:00|Vasárnap-Zárva-Zárva
3871;Borsod-Abaúj-Zemplén;Méra;Vasút út 3.;48.361;21.1485;Hétfő 6:00-17:00|Kedd 6:00-17:00|Szerda 6:00-17:00|Csütörtök 6:00-17:00|Péntek 6:00-17:00|Szombat 6:00-12:00|Vasárnap-Zárva-Zárva
3871;Borsod-Abaúj-Zemplén;Méra;Vasút út 3.;48.361;21.1485;Hétfő 6:00-17:00|Kedd 6:00-17:00|Szerda 6:00-17:00|Csütörtök 6:00-17:00|Péntek 6:00-17:00|Szombat 6:00-12:00|Vasárnap-Zárva-Zárva
3860;Borsod-Abaúj-Zemplén;Encs; Petőfi út 66.;48.3313;21.1203;Hétfő 5:30-19:00|Kedd 5:30-19:00|Szerda 5:30-19:00|Csütörtök 5:30-19:00|Péntek 5:30-19:00|Szombat 6:00-15:00|Vasárnap 7:00-14:00
